name,image,minPlayers,maxPlayers,playingTime,yearPublished,averageRating,numPlays,userComment
Tekhenu: Obelisk of the Sun,https://cf.geekdo-images.com/CBLtzgG8zsqDkUZ_hN5-ew__original/img/jEL4WHl98vZHaZFcw9hDXxsxjSo=/0x0/filters:format(jpeg)/pic5313583.jpg,1,4,120,2020,7.72119,3,
Telestrations,https://cf.geekdo-images.com/oc3u6OQpJkf9TvDw4iI9xA__original/img/Hh2zbSnLEARMlNg0OzImf2-5FIw=/0x0/filters:format(jpeg)/pic4991936.jpg,4,8,30,2009,7.38535,1,"Family, Party, Drawing, Humor"
Teotihuacan: City of Gods,https://cf.geekdo-images.com/wW5xjgBJcFyLaEWZwrYuKA__original/img/72kzn6t41ZxLEr3GFd8ir6hDdH4=/0x0/filters:format(jpeg)/pic4583626.jpg,1,4,120,2018,7.87217,12,"Strategy, Worker Placement, Ancient, Rondel, Civilization, Economic, Dice"
Terraforming Mars,https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__original/img/thIqWDnH9utKuoKVEUqveDixprI=/0x0/filters:format(jpeg)/pic3536616.jpg,1,5,120,2016,8.36495,16,"Strategy, Economic, Card Drafting, Environmental, Space Exploration, Science Fiction, Territory Building"
Terraforming Mars: Turmoil,https://cf.geekdo-images.com/KJHDZ_QwU6nAwrc53ixfJw__original/img/UPhbpsxHxAOdQT1zOpQoJgKWCs0=/0x0/filters:format(jpeg)/pic4599496.jpg,1,5,150,2019,7.50937,0,
Through the Desert,https://cf.geekdo-images.com/Rq_hJIAO7jDgIpAW943hJA__original/img/9lIQGNwBYmAlsgXOI6Iw2Q2CIkA=/0x0/filters:format(jpeg)/pic7697747.jpg,2,5,45,1998,7.09631,4,
Thurn and Taxis,https://cf.geekdo-images.com/OlwMFxx9t6HGndTSKaWxhg__original/img/SPiwIEJ1u6hBJtG4p4BrCgrPwDs=/0x0/filters:format(jpeg)/pic115300.jpg,2,4,60,2006,7.0906,16,
Ticket to Ride,https://cf.geekdo-images.com/ZWJg0dCdrWHxVnc0eFXK8w__original/img/LgzEsQlF3xkSEQLoorc8ntiYiIY=/0x0/filters:format(jpeg)/pic38668.jpg,2,5,60,2004,7.39404,6,
Tiny Towns,https://cf.geekdo-images.com/aE1EoOzr530gQin8bj8QDA__original/img/-GDAsvmQ3wkuHaZ8h9G5Gk_nvVA=/0x0/filters:format(jpeg)/pic4460401.jpg,1,6,60,2019,7.23068,8,"Family, Abstract, City Building"
Tokaido,https://cf.geekdo-images.com/81z-qIsx51gT1PDRGQ_dDA__original/img/CooNWBRczlMPhvQDv9PvvNJaW54=/0x0/filters:format(jpeg)/pic7739376.jpg,2,5,45,2012,6.93349,5,
Trajan,https://cf.geekdo-images.com/djdeCr__iNV5rMnGnxNiaQ__original/img/-pxFp0FHDLLZK_hMT5kHG7IAQ7M=/0x0/filters:format(png)/pic4336095.png,2,4,120,2011,7.75227,8,"Strategy, Ancient, Civilization, Card Drafting, Worker Placement, Mancala, Rondel, Set Collecting"
Trickerion: Legends of Illusion,https://cf.geekdo-images.com/9gob752VqEklQFV_gz16hw__original/img/ivQUea2qrHp2TDLM4i7gp1123vQ=/0x0/filters:format(png)/pic2585510.png,2,4,180,2015,7.97432,3,
Turing Machine,https://cf.geekdo-images.com/un5yundwtC6q1U9gWTY8Yw__original/img/wFqPVYmL1i9rc426afzYana7ZnE=/0x0/filters:format(png)/pic6883492.png,1,4,20,2022,7.75076,117,"Strategy, Deduction, Math"
Twice as Clever!,https://cf.geekdo-images.com/5F4jkBIAbtkLJXOtvBjh3g__original/img/wnrJkPHJDbaT5nDbpjCxGIN5ZZE=/0x0/filters:format(jpeg)/pic8014068.jpg,1,4,30,2019,7.44607,7,"Roll and Write, Dice, Family"
Twilight Imperium: Fourth Edition,https://cf.geekdo-images.com/_Ppn5lssO5OaildSE-FgFA__original/img/kVpZ0Maa_LeQGWxOqsYKP3N4KUY=/0x0/filters:format(jpeg)/pic3727516.jpg,3,6,480,2017,8.60635,3,
Tzolk'in: The Mayan Calendar,https://cf.geekdo-images.com/kXf7mDyDYuHg6oe8yTUIEA__original/img/f6-Au0KTnNR4nugSu2U-wPNbZCU=/0x0/filters:format(jpeg)/pic4604439.jpg,2,4,90,2012,7.86333,5,
Ultimate Railroads,https://cf.geekdo-images.com/zwAQWL7YfL8kC5Bgp67soQ__original/img/EFELpTEE1l-Vn_5ZqYSS5jmMxlc=/0x0/filters:format(jpeg)/pic6378170.jpg,1,4,120,2021,8.4451,49,"Strategy, Trains, Industry/Manufacturing, Worker Placement"
Underwater Cities,https://cf.geekdo-images.com/PwOwTVHovJAUQgghnGqCOg__original/img/1WL5-4DZi0hX76HEgsLIYRRaIh4=/0x0/filters:format(png)/pic4837710.png,1,4,150,2018,8.0704,4,
Unlock!: Exotic Adventures,https://cf.geekdo-images.com/RDhNC7mIZHdNBfRRQ7q7nA__original/img/kdK3cc37IG1MlGb5Njy3R2_Z5bE=/0x0/filters:format(png)/pic4511284.png,1,6,90,2018,7.31416,3,
Unlock!: Heroic Adventures,https://cf.geekdo-images.com/biw1DYvUdQ4-ZgIOtUDqhQ__original/img/vV6PSQWPpihv9718RaxFEEcgYgA=/0x0/filters:format(jpeg)/pic4432319.jpg,1,6,60,2018,7.63202,3,
Unlock!: Mystery Adventures,https://cf.geekdo-images.com/GeFlXKbZORHBWca3Sl8tSQ__original/img/2cinzeClI1xwX9eyc4j7Kr_V88U=/0x0/filters:format(jpeg)/pic3588255.jpg,1,6,75,2017,7.34743,3,
Unlock!: Secret Adventures,https://cf.geekdo-images.com/AifgmNz_JX1PMZRsqOauVA__original/img/OvwGJdAweM4AccywvZ7EzWwW768=/0x0/filters:format(jpeg)/pic3945063.jpg,1,6,60,2017,7.5397,3,
Unlock!: Timeless Adventures,https://cf.geekdo-images.com/-jn45ZxkJXYlthEyDIYEMQ__original/img/KvmIv9AD58iRUswvQCklgTi7IcQ=/0x0/filters:format(jpeg)/pic5045366.jpg,1,6,90,2019,7.77629,3,
Vegas Wits & Wagers,https://cf.geekdo-images.com/xjBLBu5ZqQd1UUMjbf4Fyg__original/img/60o03OnNGFTAjr34LM89Z7gjKu0=/0x0/filters:format(jpeg)/pic3731974.jpg,5,21,30,2017,7.79917,0,
Victorian Masterminds,https://cf.geekdo-images.com/K68z07I9sYp-05RicU0iSA__original/img/Ypy5VeLQHRsIbqlw8oPd4uAcOz0=/0x0/filters:format(jpeg)/pic4526338.jpg,2,4,60,2019,6.87747,4,"Minis, Worker Placement, Strategy, Family, Area Control"
Viticulture Essential Edition,https://cf.geekdo-images.com/l_PRU2lVlX9seScRFcvFlA__original/img/gDL7OZFlzoOFgU0VYlREs8P5hCQ=/0x0/filters:format(jpeg)/pic6500949.jpg,1,6,90,2015,7.99625,40,"Strategy, Economic, Farming, Contracts, Worker Placement, Wine"
VoilÃ !,https://cf.geekdo-images.com/xHayOKO2rZ8hZn8yZ72_Pw__original/img/8eoHuBOCgjoXA4OJ8vgG_IUYDbo=/0x0/filters:format(png)/pic2631881.png,2,6,30,2015,6.31659,0,
The Voyages of Marco Polo,https://cf.geekdo-images.com/n1G7_aWToLAAB7Mqt8iwyA__original/img/VQddnfi_QO0r4GmUU3M8_-nuO3Q=/0x0/filters:format(png)/pic2461346.png,2,4,100,2015,7.7894,27,"Strategy, Dice, Medieval, Economic, Worker Placement "
The Walking Dead: No Sanctuary,https://cf.geekdo-images.com/mSA3pqfVxYHJGhtBDQbPaw__original/img/Ff0ILFN0-ncFypbjFTs8FtaMLQs=/0x0/filters:format(png)/pic3097992.png,1,4,120,2018,6.67653,0,
War Chest,https://cf.geekdo-images.com/BryJNSSDbCohXeaJPx3tpw__original/img/pgmg83e1lUqNo7FTLdscWNDwlPE=/0x0/filters:format(png)/pic4232048.png,2,4,30,2018,7.86076,11,
Wavelength,https://cf.geekdo-images.com/z4fbPdmJg_5yphJEvql4ZA__original/img/bP1gM8RC-o5iz20_WazBaBNDHnU=/0x0/filters:format(png)/pic4552862.png,2,12,45,2019,7.28692,4,
Welcome to New Las Vegas,https://cf.geekdo-images.com/4ehc-qN5q0O_bVN9gAMMeg__original/img/r5VflZyv2IyOZUClSzQBgp3VI-E=/0x0/filters:format(jpeg)/pic4848380.jpg,1,50,35,2020,6.76474,12,
Welcome To...,https://cf.geekdo-images.com/g4XmxyKhNVdhC3QPd1purQ__original/img/pb6XFQZFUNOr6OPysOHB3usVDFk=/0x0/filters:format(jpeg)/pic3761012.jpg,1,100,25,2018,7.54337,58,"Roll and Write, Family, City Building"
Werewords,https://cf.geekdo-images.com/4ngyBZXLLKIOdGuUHE7baw__original/img/26CKXFLZQ1sUlUwdu_kJ3E8F4Bs=/0x0/filters:format(jpeg)/pic4415135.jpg,4,10,10,2017,7.13253,14,
Wingspan,https://cf.geekdo-images.com/yLZJCVLlIx4c7eJEWUNJ7w__original/img/cI782Zis9cT66j2MjSHKJGnFPNw=/0x0/filters:format(jpeg)/pic4458123.jpg,1,5,70,2019,8.06075,43,"Family, Strategy, Card Drafting, Worker Placement, Educational"
The Wizard Always Wins,https://cf.geekdo-images.com/xmxUZccK_PO-Dsgd0FcdFw__original/img/qQb0oUtY6Lzyc_-nMhi1VO5odpU=/0x0/filters:format(jpeg)/pic3716016.jpg,2,5,30,2017,6.64467,3,
World Championship Russian Roulette,https://cf.geekdo-images.com/5zvqwlo3ZQVlOuqh7rHLGQ__original/img/4AMJVKvRBTnwGcfcRxuyaKg76jk=/0x0/filters:format(jpeg)/pic3041023.jpg,2,6,30,2017,6.88415,1,"Bluffing, Party, Humor, Betting"
YamataÃ¯,https://cf.geekdo-images.com/3F1FUd4HRn2xLJpXEfmMbA__original/img/U_yoD3f629So3vkqyM0PLDys-Tk=/0x0/filters:format(jpeg)/pic3357724.jpg,2,4,80,2017,7.19291,2,"Strategy, Mythology, Area Control, Nautical"
Yokohama,https://cf.geekdo-images.com/3edsEXwH21uaO8HXXdD1Dg__original/img/O-03BIpt7yhPbsffYjDwZc68zbQ=/0x0/filters:format(png)/pic7745916.png,2,4,90,2016,7.81227,1,
You Gotta Be Kitten Me!,https://cf.geekdo-images.com/vj7xDT-MxkQunFKlHmkUAw__original/img/d7DuFNOiibTtcXPXed43rAHCAaY=/0x0/filters:format(png)/pic3123194.png,2,10,30,2016,5.76257,1,"Card Game, Bluffing, Family"
Zombie Fluxx,https://cf.geekdo-images.com/XzqgCgBYVc0a92ZqZ9NjXw__original/img/56rU6cUhd-rm6FUBHC01mLu3aAw=/0x0/filters:format(jpeg)/pic254239.jpg,2,6,40,2007,5.98137,0,Zombies
Zombies!!!,https://cf.geekdo-images.com/MLkRHrISvHx8plwBsCk9iw__original/img/tqe-xEnAUGUT3PVymvhgRVkqbv4=/0x0/filters:format(jpeg)/pic2525171.jpg,2,6,90,2001,5.79534,0,Zombies
