name,image,minPlayers,maxPlayers,playingTime,yearPublished,averageRating,numPlays,userComment
Connect Four,https://cf.geekdo-images.com/I_ZPIWEvFlrMa8caT4UD-w__original/img/w93rimjstxQr4BVmaZ_Tl5pQGOw=/0x0/filters:format(jpeg)/pic859430.jpg,2,2,10,1974,4.95081,4,
Cosmic Encounter,https://cf.geekdo-images.com/S8cE-Ld7XP5sVz-upKJ-Bg__original/img/c4ZrfOtpp6tDHLyMsKecc2ne370=/0x0/filters:format(jpeg)/pic1521633.jpg,3,5,120,2008,7.52471,2,"Strategy, Bluffing, Negotiation, Science Fiction, Aliens, Alliances"
Cottage Garden,https://cf.geekdo-images.com/7Zk5_GsYycmHYD4RN3kIJQ__original/img/LbvQO9zKGNFn9UKo_adUsarRarQ=/0x0/filters:format(jpeg)/pic3499059.jpg,1,4,60,2016,6.85523,2,
Council of Verona,https://cf.geekdo-images.com/veF92mGEcTaB88DNqRaL_w__original/img/C-x-EFQfxKo5Kfb3iNlrvqlK6hg=/0x0/filters:format(jpeg)/pic1673162.jpg,2,5,20,2013,6.28793,2,
The Crew: Mission Deep Sea,https://cf.geekdo-images.com/VuBqZ1sMaDAVVHF_OEJP4g__original/img/jGWxczXC_VWZofeAmlO_DkB0hCI=/0x0/filters:format(jpeg)/pic5988903.jpg,2,5,20,2021,8.17956,39,
The Crew: The Quest for Planet Nine,https://cf.geekdo-images.com/98LnQShydr11OBKS46xY-Q__original/img/Q-ZkgnuBu9OTBr7J3qnqPjqamAE=/0x0/filters:format(jpeg)/pic5687013.jpg,2,5,20,2019,7.82007,30,
Crusaders: Thy Will Be Done,https://cf.geekdo-images.com/XkWDxerdbSpZ1UtxWv-a7Q__original/img/a9TPfwOQIsH-4D1JNB86qec2-TI=/0x0/filters:format(jpeg)/pic6740264.jpg,2,4,60,2018,7.48223,4,
Crypt,https://cf.geekdo-images.com/Wkr5PpxPAdwM93cbkMSzpA__original/img/HZZoqXBNhjcaym7p5Udvc0Jtzhk=/0x0/filters:format(jpeg)/pic4551004.jpg,1,4,35,2018,6.5803,6,
Cryptid,https://cf.geekdo-images.com/qrPLpAnhFgc470ZRuXlvbg__original/img/QenUCVaFRry4-wlimHmeLn226Bo=/0x0/filters:format(jpeg)/pic4037705.jpg,3,5,50,2018,7.45394,10,
CuBirds,https://cf.geekdo-images.com/FDBUwGFBkniyl8q4Alvq8A__original/img/PQee1I5tS1r2TjNXMj7XR6uCsxE=/0x0/filters:format(jpeg)/pic7491534.jpg,2,5,20,2018,6.92573,4,
Dead of Winter: A Crossroads Game,https://cf.geekdo-images.com/g4mV4BH-ZrhMUVgil-yV1A__original/img/NjrnSg1aeia8I4eETDU3I1Br7a8=/0x0/filters:format(jpeg)/pic3016500.jpg,2,5,120,2014,7.47104,0,"Bluffing, Deduction, Horror, Zombies, Coop, Dice"
Dead of Winter: The Long Night,https://cf.geekdo-images.com/wpWzYeX4dg5TgNdR9OsxAg__original/img/Cu0M5-DOI29unYaVVm40KDuS-rY=/0x0/filters:format(jpeg)/pic2906832.jpg,2,5,120,2016,7.53667,0,
Deception: Murder in Hong Kong,https://cf.geekdo-images.com/1COY3oeK9aN2_XNimKaNww__original/img/ZzyzlO15ggCfkLg9ckeM4PWNePI=/0x0/filters:format(jpeg)/pic3033330.jpg,4,12,20,2014,7.45696,8,
Decrypto,https://cf.geekdo-images.com/hHZWXnUTMYDd_KTAM6Jwlw__original/img/lL6QJ69UmZT7CeljUcjyA47b-e0=/0x0/filters:format(jpeg)/pic3759421.jpg,3,8,45,2018,7.77261,9,"Part, Deduction, Word Game, Spies"
Detective: City of Angels,https://cf.geekdo-images.com/xWdK1lL-2ZTdzBZGYjjqkw__original/img/952nbRCH-EE0TtcMD_Cpol0tRXQ=/0x0/filters:format(jpeg)/pic3469246.jpg,1,5,150,2019,7.90344,0,"Murder/Mystery, Coop"
Detective: A Modern Crime Board Game,https://cf.geekdo-images.com/wJphcoCCYScWCNkE32D_hw__original/img/qSYnPWdXgggfxYvT03Oa32zSrh0=/0x0/filters:format(jpeg)/pic5756205.jpg,1,5,180,2018,7.67216,0,
Dice Brewing,https://cf.geekdo-images.com/U5dDVPrqcmQQONdQIYs4Ig__original/img/ydrT0ub4gWNQlV9tq2CLxLF_0rU=/0x0/filters:format(png)/pic2230266.png,2,4,45,2014,6.08691,0,
Dinosaur Island,https://cf.geekdo-images.com/hLJv1A1TwrMrLLIJhVpKVA__original/img/LXqkRZSyg3hRMJlUMm2m83gmi_s=/0x0/filters:format(png)/pic3429338.png,1,4,120,2017,7.57475,11,
Disney Villainous: The Worst Takes it All,https://cf.geekdo-images.com/7Ej5V5Dq92QdvVFvISfl_A__original/img/XHykA7cqZ0F4tYiKXw095TvHRno=/0x0/filters:format(jpeg)/pic4216110.jpg,2,6,120,2018,6.96968,4,
Dracula's Feast,https://cf.geekdo-images.com/YYEfCeh-vy2DD6LeTWgcCQ__original/img/D4T_YztatEVpZQqDGT0geI1AsNc=/0x0/filters:format(jpeg)/pic4157021.jpg,4,8,15,2017,6.83865,0,
Dracula's Feast: Cthulhu & Friends,https://cf.geekdo-images.com/eQVKLe2PXK3CZlvkglJ67Q__original/img/QMFGdRcrAKr0u49q5yJVdXBmETE=/0x0/filters:format(jpeg)/pic4157018.jpg,4,10,15,2017,6.67407,0,
Draftosaurus,https://cf.geekdo-images.com/JahbLRZ_jEe8P8gisXUtJw__original/img/Ug7yXzMmgpaqcv7B_lNTXsAk7_g=/0x0/filters:format(jpeg)/pic4447676.jpg,2,5,15,2019,7.10581,16,
Dragon Boats of the Four Seas,https://cf.geekdo-images.com/9eXFvOFu_7ja7EbDdHnrwg__original/img/cOY_oTx68u7eJr-tnUCUrdnGn4Q=/0x0/filters:format(jpeg)/pic4288762.jpg,2,4,45,2019,6.52599,1,
Dragon Brew,https://cf.geekdo-images.com/785AXJRG98bFH64pV_fgZg__original/img/EQguCqBS88vIRf4IdZFXu86njJI=/0x0/filters:format(png)/pic3022777.png,2,4,120,2017,7.33488,1,
Dragon Castle,https://cf.geekdo-images.com/LvBG5jXW8ZFyllrbyJme-A__original/img/u8VQUhndzJDGh1EWdLx4FdsAnWE=/0x0/filters:format(png)/pic3683059.png,1,4,45,2017,7.13016,23,
Dune: Imperium,https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__original/img/mZzaBAEEJpMlHWWmC0R6Su0OibQ=/0x0/filters:format(jpeg)/pic5666597.jpg,1,4,120,2020,8.4284,5,
Dungeon Petz,https://cf.geekdo-images.com/7JjAm9RM8E2pbu5KCCbsTQ__original/img/67Yryf6M4Tkv6gDAUIsbqPyhJWA=/0x0/filters:format(jpeg)/pic1103979.jpg,2,4,90,2011,7.40664,0,
Eight-Minute Empire,https://cf.geekdo-images.com/HKj7MIw-zV-AmQ7PfoltRg__original/img/mHUi6z1OzjvW-Dm5BAoNcEXdwXs=/0x0/filters:format(jpeg)/pic1443212.jpg,2,5,20,2012,6.55612,2,
Ethnos,https://cf.geekdo-images.com/UIKUXkcnH3Bd4fjcPGINcA__original/img/IrqDqjjm1LY66Zkw7l4RwppaBBI=/0x0/filters:format(png)/pic3304124.png,2,6,60,2017,7.46213,4,
Euphoria: Build a Better Dystopia,https://cf.geekdo-images.com/aaEdtCTpdlDLTn_tuDuC0g__original/img/6mvmw0I7vDfcKSFg-g9E5F4GEgA=/0x0/filters:format(jpeg)/pic1615561.jpg,2,6,60,2013,7.1911,0,
The Expanse Board Game,https://cf.geekdo-images.com/fy2F4nH0TTGPbsoEx2tQrA__original/img/EdVfLOnLkS_a86LYL503kaayRQI=/0x0/filters:format(jpeg)/pic3536365.jpg,2,4,60,2017,7.18271,2,
Exploding Kittens,https://cf.geekdo-images.com/N8bL53-pRU7zaXDTrEaYrw__original/img/0ciN1VZYifUd0qIDO0e8cGXmiss=/0x0/filters:format(png)/pic2691976.png,2,5,15,2015,6.05889,0,
Explorers of the North Sea,https://cf.geekdo-images.com/2sfZ4twDHEwmfGBsq07b-g__original/img/rRN3rUy5niYHix2aVJiCRoJCnYE=/0x0/filters:format(png)/pic3774971.png,1,4,60,2016,7.28919,7,
Fairy Tale,https://cf.geekdo-images.com/J86NZuK4hEnKWST-fH7LcA__original/img/h3A-Cqc1ritIac-UJWGQhodDRV0=/0x0/filters:format(jpeg)/pic2024738.jpg,2,5,30,2004,6.70928,1,
A Fake Artist Goes to New York,https://cf.geekdo-images.com/5Q5YHxJeVp6PAhfv5Ct0-g__original/img/yRNioltDOtjrTRXa0HHoTTCWNf8=/0x0/filters:format(png)/pic3678404.png,5,10,20,2011,7.14401,27,
